year;taladradora;limones;cazadora;azafrán;uvas;comino;medias;pala;laurel;mandarinas;sierra;zapatos;romero;piña;tornillos;guantes
1815;0,0;0,0002457277787470957;1,4484857453161177e-05;8,715805078298087e-05;0,0003172257801712216;3,751499174800951e-05;0,0017626642407516818;0,000627798470174769;0,0006595215706641154;0,0;0,0015355698126638473;0,0005267992979237793;0,00018445596115920386;2,74542870215555e-05;0,0001455797683799379;0,00014920263059333853
1816;0,0;0,00021582748510289615;1,0746718308902408e-05;8,595581775239225e-05;0,0004034297246237527;3,658045696194482e-05;0,0016750591644917484;0,0006117727122857884;0,0006464164016506402;0,0;0,001489230174099378;0,00047499592840592546;0,00019419562948184776;3,0657029778272514e-05;0,0001354337353883953;0,00015039763679526783
1817;0,0;0,0002192361226402032;1,0746718308902408e-05;9,444397660120427e-05;0,0006006481953590992;3,4106692682809937e-05;0,001704966806365909;0,0005404124781957112;0,0006035534072777539;0,0;0,0014870190885371162;0,0004871956109907062;0,00020193685129145578;3,07300189612241e-05;0,00013001724050403545;0,00014615202782611699
1818;0,0;0,0002072590206125824;1,2884576554889854e-05;9,326688054248475e-05;0,0006091391745550416;2,76377608798839e-05;0,0016885501151721527;0,0005370596552113836;0,0006033217849627752;0,0;0,001503829876777932;0,00046823387427658806;0,00020829506865993608;3,286787720721155e-05;0,00014041225711025618;0,0001629329395720041
1819;0,0;0,0001627898301746557;1,0374683613788096e-05;9,234249448906797e-05;0,0006242005058863599;2,2617974997680384e-05;0,001602639479512748;0,0005199048376068406;0,0005532897018513593;0,0;0,0012960120004988443;0,00042074483579719005;0,0001710425603310536;2,8360016252853324e-05;0,00014913155886071245;0,00015551930232504674
1820;0,0;8,924117642956324e-05;7,388300917097825e-06;6,813885359438896e-05;0,0006466659247702669;1,657550820409272e-05;0,0013294824644357764;0,0005025398422731087;0,0004918935246678302;0,0;0,0009310100917251215;0,000364244283446169;0,0001437131361724044;2,3255285189601898e-05;6,520026728042337e-05;0,00010617428561740132
1821;0,0;7,081932226680822e-05;7,388300917097825e-06;6,035256307411276e-05;0,0006489026873168768;2,0523554056239846e-05;0,0013649435329300883;0,00041441784170664117;0,0005120808054925874;0,0;0,0008769452571349185;0,00036270554509038836;0,00012725354037814083;2,3302343419930238e-05;6,724095576211247e-05;0,00010137059770646113
1822;0,0;5,169397476428068e-05;1,0208310235222079e-05;3,067152180489886e-05;0,0005017412539538262;2,3760545581857123e-05;0,0011666034229814873;0,0003435313828958897;0,0004937428197341173;0,0;0,0009091840378719748;0,00038325447673871944;9,224342412445756e-05;2,1524790229575175e-05;6,138169124726898e-05;0,00010480890994456007
1823;0,0;8,535062444739847e-05;1,2202967931378745e-05;4,901691507289538e-05;0,00043283994922863457;2,451907994733509e-05;0,001185340975748009;0,0003599942699241053;0,000485004894861569;0,0;0,0009793764093046775;0,0003754579990657346;8,734089444065571e-05;2,559840786326666e-05;7,912304117293647e-05;9,681597816779686e-05
1824;0,0;9,177589025252278e-05;1,2202967931378745e-05;4,4846102298379265e-05;0,0002465966433971646;2,5777744281997782e-05;0,0012527124454209115;0,00037107431580807315;0,00047471753207771277;0,0;0,0010463654754338286;0,00035829230325491935;9,591753991701677e-05;2,6374119954652997e-05;8,007451067929392e-05;0,0001145249037952973
1825;0,0;9,138702401807157e-05;1,00651096853913e-05;4,9960532066961605e-05;0,00025298320289428896;3,087282140411064e-05;0,001318770643722798;0,0003672542918918355;0,0004798659282252109;0,0;0,0011171269696725566;0,00036942085444024997;9,270399873782611e-05;2,4236261708665552e-05;8,057949299557419e-05;0,00010419162046153879
1826;0,0;9,207932245252388e-05;1,4160309547150973e-05;4,357646758990086e-05;0,0002759878287049235;3,255897423416952e-05;0,0013498714776817775;0,00035282880617160117;0,0005749585950200396;0,0;0,0009683005828264868;0,0003832706202696759;8,740357567863352e-05;2,396510154767384e-05;7,79292814659779e-05;0,0001165672074421309
1827;0,0;0,00012755494286206419;1,4594588090436184e-05;4,5435804655166324e-05;0,0002849750785571814;3,3604366933559504e-05;0,0013321727757491836;0,0003280515589462344;0,0006316618704918905;0,0;0,0012299183578891512;0,0003972663794879086;0,00012435886763536734;2,3340990042340438e-05;8,326284687752507e-05;0,0001328123484459606
1828;0,0;0,00015802924216196907;1,8827376432487392e-05;4,7854540850624154e-05;0,0002783028142922766;2,8550514384408287e-05;0,0013220058203192561;0,0003991108412394949;0,0005976335939651887;0,0;0,0013170758718063422;0,0004702078870520511;0,000134730387100847;2,1687002466868372e-05;8,237360792203876e-05;0,000151569412309982
1829;0,0;0,0001726825262591904;2,2802536595431127e-05;4,655211033163401e-05;0,0002991006778886783;2,6277345455127943e-05;0,0012557099450662332;0,00037544554223651564;0,0006724803175269958;0,0;0,001654144944041036;0,00044287478431215277;0,00014213386764692717;2,757290441682666e-05;7,406725736862947e-05;0,00014344747520616302
1830;0,0;0,00020421951489879575;5,1036897831733904e-05;5,3978452894755583e-05;0,00032119814445000623;2,837472448748356e-05;0,0012865244441075316;0,00036892046994450666;0,0007027422660550135;5,223712763933821e-07;0,001883793460625124;0,00045358270394249957;0,00014899310696949084;2,7087370670285183e-05;6,896984489555637e-05;0,0001513803998217814
