year;policía;doctor;abogado;periodista;pintor;músico;fotógrafo;doctora;profesora;taxista;cartero;albañil;bombero;fotógrafa;dependienta
mean_1800_2008;0,0038683371049009095;0,011964420562749965;0,002125235167625656;0,0009345436398912429;0,0014846541966035691;0,00041867311778322756;0,00011442778247509121;0,00013532578817248105;0,00025673590133443554;2,1168019822577432e-05;6,0722433510145986e-05;0,000124333870839803;2,3107496170362637e-05;4,777159989538867e-06;2,9037770791949963e-06
mean_1900-2008;0,0040064507908014226;0,017485687496296004;0,0023884863508580054;0,0016037866212743135;0,0020705271116734742;0,0005659644433555869;0,0001972844912900045;0,00024362894199829167;0,00042103472286384076;4,051687512772807e-05;6,733505810789513e-05;0,0001520638644007983;3,3710714823075604e-05;9,091014391103596e-06;5,382913308158401e-06
1800;0,001673855763328902;0,004409015446071862;0,0006614756443923397;3,6229724997838275e-06;0,0005860893452336313;0,00028695739899831096;3,6229724997838275e-06;5,320502882710798e-06;9,954381141596969e-06;0,0;7,4402873195822394e-06;8,768604615738695e-05;0,0;0,0;0,0
1801;0,0015824549518583808;0,0037736503873020406;0,0006109856713010231;4,943506866084135e-06;0,0007858664685045368;0,0002674008032954589;2,898377999827062e-06;4,2564023061686385e-06;7,963504913277575e-06;0,0;6,974794288794329e-06;8,344217405920062e-05;0,0;0,0;0,0
1802;0,0016179145707913751;0,0033941329547815258;0,0005691021973082873;6,795815347497107e-06;0,0006875386854214109;0,00024584954871897935;2,4153149998558847e-06;8,364209295545304e-06;9,312480386824973e-06;0,0;7,4180644441905015e-06;7,702857895234652e-05;0,0;0,0;0,0
1803;0,0015407975687204661;0,0029782683993419467;0,0005551302560239232;5,8249845835689484e-06;0,0008199185523543357;0,0002519668149553971;2,070269999876473e-06;8,852531609347483e-06;8,823730723861445e-06;0,0;7,199945630174756e-06;7,780696194004122e-05;0,0;0,0;0,0
1804;0,0015779874827005968;0,003033828235337361;0,0006974151022274912;4,529767240666972e-06;0,000897148340430119;0,0001661546759480968;0,0;8,334964109378364e-06;5,7183256225406306e-06;0,0;7,199945630174756e-06;9,57502278099907e-05;0,0;0,0;0,0
1805;0,0015989481393522248;0,0031745927831902266;0,0007048769215803727;4,529767240666972e-06;0,0008641653282990905;0,00014633288531383317;0,0;7,013511346290865e-06;3,7361464779093827e-06;0,0;5,217766485543507e-06;7,064262612337708e-05;0,0;0,0;0,0
1806;0,0017443861647084952;0,0022598795957102474;0,0006940523560063282;4,529767240666972e-06;0,0007469420154393447;0,00013831248679707642;0,0;7,013511346290865e-06;3,7361464779093827e-06;0,0;6,506238697007965e-06;6,7305066003038e-05;0,0;0,0;0,0
1807;0,002260527890030062;0,0012853206564094372;0,0008114748392732249;1,4025700727821849e-05;0,0007261115984290102;0,00013371750193463022;0,0;8,977555410183413e-06;3,135512928663177e-06;0,0;5,90560514776176e-06;5,9220483145898986e-05;0,0;0,0;0,0
1808;0,002494015526670929;0,0012398170773459632;0,0009443271470185469;4,182018170492289e-05;0,0005379435175914945;0,00012919665063496462;0,0;8,977555410183413e-06;3,135512928663177e-06;0,0;5,175201981241376e-06;5,872686870134203e-05;0,0;0,0;0,0
1809;0,002565513243877961;0,0012359864935465989;0,0010352316816611814;5,6878477394661786e-05;0,001408801991179384;0,00017020175684072974;0,0;1,005418194413973e-05;2,576825153255413e-06;0,0;3,798856949645467e-06;6,618568915785415e-05;0,0;0,0;0,0
1810;0,0027210697875748985;0,0016712303736962247;0,0011261280763262352;9,746656891098025e-05;0,0013522495586520173;0,00014616147154811188;2,0638014218223233e-06;1,1122707681871752e-05;1,7352204752439448e-06;0,0;4,333119818511477e-06;6,678603118156648e-05;0,0;0,0;0,0
1811;0,003078199201159545;0,0019098367504609215;0,0010680209925340023;0,000124277529981295;0,001209389793237798;0,0001402432831452773;2,0638014218223233e-06;1,2272124954344171e-05;1,7352204752439448e-06;0,0;5,482537090983897e-06;4,6194489300432906e-05;0,0;0,0;0,0
1812;0,0033211894593218206;0,0018551514585851692;0,0011604556415737274;0,00013339271569228522;0,0012440755548530952;0,0001797424204141862;2,0638014218223233e-06;1,2272124954344171e-05;1,7352204752439448e-06;0,0;2,2193711300490448e-05;5,2271279774426406e-05;0,0;0,0;0,0
1813;0,003097654215317951;0,0018773087504087016;0,0012373949175525922;0,00018416122316011752;0,001389031634906652;0,0002276701975136218;2,0638014218223233e-06;1,2272124954344171e-05;3,2284118235890806e-06;0,0;1,923645902885645e-05;7,018957595456803e-05;0,0;0,0;0,0
1814;0,0030217089131058727;0,002145131241247457;0,0012630804641438381;0,00017466528967296263;0,0013782913957324386;0,0002342292264399605;2,0638014218223233e-06;1,0080100106993736e-05;3,2284118235890806e-06;0,0;2,1183031658925495e-05;7,067195813955809e-05;0,0;0,0;0,0
1815;0,002945760206785053;0,0023137960202542934;0,001199078971174978;0,00020978304990291818;0,001361979838878012;0,00023805958773794245;2,0638014218223233e-06;1,0080100106993736e-05;3,2284118235890806e-06;0,0;2,1183031658925495e-05;6,386486737548174e-05;0,0;0,0;0,0
1816;0,002836390740412753;0,0023664592585451566;0,0011849005984134106;0,00019243084596252757;0,0005400015116460313;0,0002037494977815056;2,8644871110015757e-06;5,675124370441154e-06;1,4931913483451353e-06;0,0;2,1183031658925495e-05;5,9591332046693424e-05;0,0;0,0;8,006856891792528e-07
1817;0,002932017481985635;0,0026049843264835154;0,001330452804333098;0,0001808198890427905;0,00047848213366056115;0,00020055676697795988;8,006856891792528e-07;4,855198249791621e-06;2,4590958348978475e-06;0,0;2,6085543274640645e-05;5,6867569193335446e-05;0,0;0,0;8,006856891792528e-07
1818;0,002888357890437224;0,003018997488522603;0,0013435181764569798;0,00018273631781084987;0,000500255513153596;0,0002396770225589405;8,006856891792528e-07;4,1333526062154694e-06;5,8796688660679915e-06;0,0;2,5363697631064497e-05;6,295919052133416e-05;0,0;0,0;8,006856891792528e-07
1819;0,0029173749810849714;0,003840862427750835;0,001293293085577066;0,00018488348132450483;0,000524334534800021;0,00022782183382982372;8,006856891792528e-07;4,1333526062154694e-06;5,8796688660679915e-06;0,0;9,67637337875463e-06;8,196672354188195e-05;0,0;0,0;8,006856891792528e-07
1820;0,0031015735917857713;0,004143718017855592;0,0012167896719412446;0,00016599151909498948;0,00042658008883985786;0,0001899006649961978;8,006856891792528e-07;5,313965445452595e-06;4,386477517722856e-06;0,0;9,67637337875463e-06;7,939639406881074e-05;0,0;0,0;8,006856891792528e-07
1821;0,0028775500270837385;0,004239976208607134;0,0011947248887216638;0,00023270830849599278;0,0004386752022713024;0,00017830750250271064;8,006856891792528e-07;6,3029377019217596e-06;4,386477517722856e-06;0,0;1,1654317891692959e-05;8,337581180382716e-05;0,0;0,0;8,006856891792528e-07
1822;0,002963536514601271;0,0043995093229958525;0,001343802724867211;0,00019747535751386228;0,00047877004557709114;0,00019333321087547768;8,006856891792528e-07;9,122947020046013e-06;4,386477517722856e-06;0,0;1,3534324036105056e-05;9,622132535826365e-05;9,400030722060495e-07;0,0;8,006856891792528e-07
1823;0,0031051291443873197;0,00473042751504441;0,0014241087683330989;0,00020890963859138926;0,0005115693608916315;0,00020848978741534144;0,0;8,32226133086676e-06;4,386477517722856e-06;0,0;1,3534324036105056e-05;9,025127708030465e-05;1,4597431073428067e-06;0,0;0,0
1824;0,0029368487957981415;0,004869688564212993;0,0013144254223464355;0,0001971729115471784;0,0005013716580443932;0,00021895443020574542;0,0;6,946594563065186e-06;3,4205730311701444e-06;0,0;8,36822928412013e-06;9,33835029367661e-05;1,4597431073428067e-06;0,0;0,0
1825;0,0026912858239873977;0,004875279721870486;0,0013567641677322431;0,00016767046905182985;0,000533570255356608;0,00019574178671583856;0,0;8,52725889899375e-06;1,0041179824124162e-06;0,0;7,940657655223862e-06;8,52045074241557e-05;4,974156096539316e-06;0,0;0,0
1826;0,0025209551625136684;0,004263243213894644;0,001546525754747563;0,0001589375490393;0,0005736171845325901;0,0002013417664719392;0,0;9,972647063705153e-06;1,365465023590267e-06;0,0;7,639501780382879e-06;8,035561762653742e-05;6,058197245449395e-06;0,0;0,0
1827;0,0022998036261664572;0,004502005633964602;0,0016638408201937898;0,0001453007024159498;0,0006466072201354629;0,0002182396372063522;4,342785432852127e-07;1,0529148397608878e-05;2,668300653445905e-06;0,0;8,073780323668092e-06;7,586461480611564e-05;7,795311418590245e-06;0,0;0,0
1828;0,0022751865669436355;0,0048108095922673655;0,0016900112314033322;8,039796516153988e-05;0,0006605179286062983;0,0002237736842809162;4,342785432852127e-07;1,0985626021563024e-05;5,691720897768196e-06;0,0;4,753947229525173e-06;7,29330851965772e-05;7,795311418590245e-06;0,0;0,0
1829;0,002379111746059997;0,005101983593444207;0,0016335225934329045;5,5140822650758174e-05;0,0006591488857208917;0,00020182831933977596;9,19647799183362e-07;9,136355215235068e-06;7,147828614709592e-06;0,0;2,8739410851130742e-06;7,00272674894872e-05;8,311416063325591e-06;0,0;0,0
1830;0,002310937452421058;0,00570414839395588;0,0015556996653945782;5,9377679357502136e-05;0,0006210486065226308;0,00018323345167508314;9,19647799183362e-07;1,3837696550516349e-05;9,23731372028312e-06;0,0;3,3963123615064565e-06;8,258259660871252e-05;8,314047304582215e-06;1,0447425527867641e-06;0,0
1831;0,0026351344006668243;0,005460036429992344;0,0017522997820508734;6,197718899362112e-05;0,0005726423166509319;0,00019132100663097972;9,19647799183362e-07;1,429898596987706e-05;9,23731372028312e-06;0,0;3,8101753878955994e-06;8,250922149954931e-05;1,0857626264737519e-05;1,0447425527867641e-06;0,0
1832;0,0029343675383383277;0,00554425958918208;0,0017956506910975023;7,964589546613102e-05;0,0006786331011556156;0,00020527519869314607;9,19647799183362e-07;1,554551179846645e-05;9,163127678846195e-06;0,0;6,1350052403343265e-06;9,255300759442824e-05;8,2731452165165e-06;1,0447425527867641e-06;0,0
