word;absolute_frequency;standardized_frequency
banco;24341;159,55
fuente;13660;89,53
parada;2351;15,41
acera;1565;10,25
asfalto;1040;6,81
baldosas;449;2,94
papelera;415;2,72
farolas;334;2,18
farola;238;1,56
rotonda;233;1,52
alcantarilla;228;1,49
baldosa;98;0,64
jardinera;92;0,6
contenedor;349;2,28
buzón;435;2,85
