word;absolute_frequency;standardized_frequency
sierra;6300;41,29
escalera;4019;26,34
casco;2415;15,83
maletín;914;5,99
cono;867;5,68
cubo;825;5,4
linterna;759;4,97
chaleco;740;4,85
martillo;670;4,39
pincel;626;4,1
pala;459;3,0
manguera;261;1,71
taladro;126;0,82
polea;126;0,82
destornillador;90;0,58
