word;absolute_frequency;standardized_frequency
coche;11337;74,31
avión;6853;44,92
tren;6204;40,66
camión;2901;19,01
autobús;2454;16,08
bicicleta;2244;14,7
moto;1418;9,29
tranvía;824;5,4
patines;273;1,78
tractor;263;1,72
triciclo;81;0,53
patinete;25;0,16
monopatín;21;0,13
