word;absolute_frequency;standardized_frequency
policía;31598;207,12
doctor;17526;114,88
abogado;8983;58,88
periodista;8547;56,02
pintor;6383;41,83
músico;2502;16,4
fotógrafo;2306;15,11
doctora;1725;11,3
profesora;1482;9,71
taxista;973;6,37
cartero;534;3,5
albañil;445;2,91
bombero;364;2,38
fotógrafa;122;0,79
dependienta;146;0,95
