word;absolute_frequency;standardized_frequency
teatro;21663;141,99
iglesia;20101;131,75
hospital;13823;90,6
hospital;13823;90,6
ayuntamiento;10995;72,07
museo;10449;68,49
colegio;10396;68,14
estación;7339;48,1
juzgado;5455;35,75
metro;5429;35,58
fábrica;4068;26,66
farmacia;1731;11,34
correos;1380;9,04
