word;absolute_frequency;standardized_frequency
espumadera;85;0,55
cerezas;362;2,37
atún;646;4,23
hierbabuena;245;1,6
kiwis;46;0,3
batidora;302;1,97
ajo;3821;25,04
lenguados;51;0,33
pimentón;643;4,21
fresas;469;3,07
gallos;648;4,24
platos;3680;24,12
albaricoques;91;0,59
trucha;291;1,9
orégano;908;5,95
cazuela;1272;8,33
